state,enact_year,notes
Alabama,2012,Original sample
Arkansas,2011,Original sample
Colorado,2008,Original sample
Florida,2013,Original sample
Georgia,2008,Original sample
Hawaii,2006,Original sample
Idaho,2014,Original sample
Illinois,2006,Original sample
Indiana,2011,Original sample
Kansas,2004,Original sample - early adopter
Kentucky,2012,Original sample
Louisiana,2008,Original sample
Maine,2012,Original sample
Maryland,2018,Original sample
Massachusetts,2006,Original sample
Michigan,2006,Original sample
Minnesota,2015,Original sample
Mississippi,2012,Original sample
Missouri,2010,Original sample
Montana,2009,Original sample
Nebraska,2015,Original sample
North Carolina,2005,Original sample - early adopter/template
North Dakota,2011,Original sample
Ohio,2016,Original sample
Oklahoma,2004,Original sample - early adopter
Oregon,2015,Original sample
South Carolina,2010,Original sample
South Dakota,2010,Original sample
Tennessee,2009,Original sample
Texas,2015,Original sample
Utah,2008,Original sample
Virginia,2006,Original sample - early adopter/template
Washington,2017,Original sample
West Virginia,2018,Original sample
Wisconsin,2014,Original sample
Alaska,2003,Added - SLA 2003 ch.121 (farm touring in sports/rec statute)
Arizona,2019,"Added - HB 2556 signed June 7, 2019"
Delaware,2008,Added - 76 Del. Laws c.409 (zoning-based)
Iowa,2021,"Added - SF 356 signed May 19, 2021"
New Hampshire,2018,"Added - SB 412 signed May 16, 2018"
New York,2017,Added - Safety in Agricultural Tourism Act
Pennsylvania,2021,"Added - Act 27 signed June 30, 2021"
Vermont,2021,"Added - Act 31 (H.89) signed May 17, 2021"
