state,n_words,n_tokens,n_characters,n_sentences,avg_words_per_sentence
Alabama,935,952,5177,42,22.261904761904763
Alaska,403,412,2316,6,67.16666666666667
Arizona,2035,2054,11185,102,19.95098039215686
Arkansas,874,896,5070,21,41.61904761904762
Colorado,1714,1784,9680,39,43.94871794871795
Delaware,2593,2603,14306,78,33.243589743589745
Florida,876,892,4765,26,33.69230769230769
Georgia,1581,1642,8945,57,27.736842105263158
Hawaii,4358,4510,25491,56,77.82142857142857
Idaho,918,931,5195,30,30.6
Illinois,587,603,3135,15,39.13333333333333
Indiana,1173,1225,6494,53,22.132075471698112
Iowa,298,299,1583,15,19.866666666666667
Kansas,1670,1724,9328,64,26.09375
Kentucky,1803,1856,10427,35,51.51428571428571
Louisiana,1896,1957,11118,81,23.40740740740741
Maine,884,892,4908,47,18.80851063829787
Maryland,1699,1730,9093,38,44.71052631578947
Massachusetts,596,600,3361,16,37.25
Michigan,2405,2443,13467,91,26.428571428571427
Minnesota,470,475,2700,21,22.38095238095238
Mississippi,1137,1151,6481,35,32.48571428571429
Missouri,984,1004,5595,28,35.142857142857146
Montana,726,799,4160,18,40.333333333333336
Nebraska,1198,1240,6607,18,66.55555555555556
New Hampshire,844,867,4726,36,23.444444444444443
New York,1214,1237,6778,43,28.232558139534884
North Carolina,857,875,4867,27,31.74074074074074
North Dakota,623,630,3480,40,15.575
Ohio,3240,3333,17156,60,54
Oklahoma,1013,1024,5735,40,25.325
Oregon,1062,1111,5983,32,33.1875
Pennsylvania,957,971,5204,42,22.785714285714285
South Carolina,792,808,4522,29,27.310344827586206
South Dakota,1269,1332,6680,21,60.42857142857143
Tennessee,978,997,5499,19,51.473684210526315
Texas,668,689,3815,18,37.111111111111114
Utah,513,521,2957,11,46.63636363636363
Vermont,750,781,3981,38,19.736842105263158
Virginia,818,829,4655,30,27.266666666666666
Washington,986,1014,5621,28,35.214285714285715
West Virginia,1058,1083,5904,32,33.0625
Wisconsin,1497,1525,8485,73,20.506849315068493
